# FACTS Aggregation File: SHUTEYE_resub_ss
#Scenario ID,Recruitment Profile,Dropout Profile,Response Profile,Agg Timestamp,P(TS),P(TF),# Project,Scenario,Timestamp,Version,Nsim,No.Subj,SE Subj,No.Subj 80%ile,P(ES),P(LS),P(LF),P(EF),SFFF,FSFF,Undec.,Unused,Unused,Unused,Early Success Time,Mean Alloc 1,Mean Alloc 2,Mean Alloc 3,Mean Alloc 4,Mean Alloc 5,SE Alloc 1,SE Alloc 2,SE Alloc 3,SE Alloc 4,SE Alloc 5,Mean resp 1,Mean resp 2,Mean resp 3,Mean resp 4,Mean resp 5,SE resp 1,SE resp 2,SE resp 3,SE resp 4,SE resp 5,True Mean resp 1,True Mean resp 2,True Mean resp 3,True Mean resp 4,True Mean resp 5,No.Dropouts 1 1,No.Dropouts 2 1,No.Dropouts 3 1,No.Dropouts 4 1,No.Dropouts 5 1,BAC Mean,SE of BAC Mean,BAC Tau,SE of BAC Tau,BAAC Mean,SE of BAAC Mean,BAAC Tau,SE of BAAC Tau,Mean Duration,Ppn Arms Dropped 1,Ppn Arms Dropped 2,Ppn Arms Dropped 3,Ppn Arms Dropped 4,Ppn Arms Dropped 5,Mean LP Enrolled time,Pr(P_d > 0.05) 1,Pr(P_d > 0.05) 2,Pr(P_d > 0.05) 3,Pr(P_d > 0.05) 4,Pr(P_d > 0.05) 5,Pr(Succ. Future Trial): N=250; Sup. alpha=0.025; Delta=0 1,Pr(Succ. Future Trial): N=250; Sup. alpha=0.025; Delta=0 2,Pr(Succ. Future Trial): N=250; Sup. alpha=0.025; Delta=0 3,Pr(Succ. Future Trial): N=250; Sup. alpha=0.025; Delta=0 4,Pr(Succ. Future Trial): N=250; Sup. alpha=0.025; Delta=0 5,Ppn Pr(Max) 1,Ppn Pr(Max) 2,Ppn Pr(Max) 3,Ppn Pr(Max) 4,Ppn Pr(Max) 5,Ppn Pr(EDq absolute: Quantile=0.95) 1,Ppn Pr(EDq absolute: Quantile=0.95) 2,Ppn Pr(EDq absolute: Quantile=0.95) 3,Ppn Pr(EDq absolute: Quantile=0.95) 4,Ppn Pr(EDq absolute: Quantile=0.95) 5,Ppn Pr(MED absolute: Delta=0.05) 1,Ppn Pr(MED absolute: Delta=0.05) 2,Ppn Pr(MED absolute: Delta=0.05) 3,Ppn Pr(MED absolute: Delta=0.05) 4,Ppn Pr(MED absolute: Delta=0.05) 5,Ppn Pr(EDq absolute: Quantile=0.9) 1,Ppn Pr(EDq absolute: Quantile=0.9) 2,Ppn Pr(EDq absolute: Quantile=0.9) 3,Ppn Pr(EDq absolute: Quantile=0.9) 4,Ppn Pr(EDq absolute: Quantile=0.9) 5,Pr(EDq absolute: Quantile=0.95); d=4d,Pr(EDq absolute: Quantile=0.95); d=5d,Pr(EDq absolute: Quantile=0.95); d=6d,Pr(EDq absolute: Quantile=0.95); d=7d,Pr(EDq absolute: Quantile=0.95); d=8d,
#Scenario ID,Recruitment Profile,Dropout Profile,Response Profile,Agg Timestamp,P(TS),P(TF),# Project,Scenario,Timestamp,Version,Nsim,No.Subj,SE Subj,No.Subj 80%ile,P(ES),P(LS),P(LF),P(EF),SFFF,FSFF,Undec.,Unused,Unused,Unused,Early Success Time,Mean Alloc 1,Mean Alloc 2,Mean Alloc 3,Mean Alloc 4,Mean Alloc 5,SE Alloc 1,SE Alloc 2,SE Alloc 3,SE Alloc 4,SE Alloc 5,Mean resp 1,Mean resp 2,Mean resp 3,Mean resp 4,Mean resp 5,SE resp 1,SE resp 2,SE resp 3,SE resp 4,SE resp 5,True Mean resp 1,True Mean resp 2,True Mean resp 3,True Mean resp 4,True Mean resp 5,No.Dropouts 1 1,No.Dropouts 2 1,No.Dropouts 3 1,No.Dropouts 4 1,No.Dropouts 5 1,BAC Mean,SE of BAC Mean,BAC Tau,SE of BAC Tau,BAAC Mean,SE of BAAC Mean,BAAC Tau,SE of BAAC Tau,Mean Duration,Ppn Arms Dropped 1,Ppn Arms Dropped 2,Ppn Arms Dropped 3,Ppn Arms Dropped 4,Ppn Arms Dropped 5,Mean LPFV time,Pr(CSD) 1,Pr(CSD) 2,Pr(CSD) 3,Pr(CSD) 4,Pr(CSD) 5,Pr(SS) 1,Pr(SS) 2,Pr(SS) 3,Pr(SS) 4,Pr(SS) 5,Ppn Pr(Max) 1,Ppn Pr(Max) 2,Ppn Pr(Max) 3,Ppn Pr(Max) 4,Ppn Pr(Max) 5,Ppn Pr(EDq) 1,Ppn Pr(EDq) 2,Ppn Pr(EDq) 3,Ppn Pr(EDq) 4,Ppn Pr(EDq) 5,Ppn Pr(MED) 1,Ppn Pr(MED) 2,Ppn Pr(MED) 3,Ppn Pr(MED) 4,Ppn Pr(MED) 5,Ppn QOI_4_1 1,Ppn QOI_4_1 2,Ppn QOI_4_1 3,Ppn QOI_4_1 4,Ppn QOI_4_1 5,Pr(EDq)_at_4d,Pr(EDq)_at_5d,Pr(EDq)_at_6d,Pr(EDq)_at_7d,Pr(EDq)_at_8d,
1,Acc 1,Drop1,equal,2022/04/22 09:32:53,0.242,0,SHUTEYE_resub_ss,Acc 1_Drop1_equal_Var1,2022/04/22 09:08:50,6.4.1,1000,1000,0,1000,0,0.242,0,0,0,0,0.758,0,0,0,0,200,200,200,200,200,0,0,0,0,0,0.748741186999999,0.750099193,0.750016865,0.750308937,0.749298636000001,0.000800712357862097,0.00073358244480985,0.000703873690600002,0.000704096878560855,0.000835704931476926,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.508498,0,0,0,0,0,113.508498,1,1,1,1,1,0,0,0,0,0,0.245,0.165,0.167,0.167,0.256,0.741,0.164,0.059,0.027,0.009,1,0,0,0,0,0.966,0.03,0.004,0,0,0.57153,0.2160764,0.112244,0.0639388,0.0362108,
2,Acc 1,Drop1,equal,2022/04/22 09:32:53,0.319,0,SHUTEYE_resub_ss,Acc 1_Drop1_equal_Var2,2022/04/22 09:08:54,6.4.1,1000,1500,0,1500,0,0.319,0,0,0,0,0.681,0,0,0,0,300,300,300,300,300,0,0,0,0,0,0.748464224000001,0.749222715,0.749788778999999,0.749602960000001,0.748623382999999,0.000688380124353734,0.000618691931308034,0.000616034702242867,0.00060167899342771,0.000685295402617069,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,166.541994,0,0,0,0,0,163.541994,1,1,1,1,1,0,0,0,0,0,0.215,0.175,0.196,0.166,0.248,0.804,0.131,0.043,0.014,0.008,1,0,0,0,0,0.992,0.007,0.001,0,0,0.623942,0.2026976,0.1006108,0.0476092,0.0251404,
3,Acc 1,Drop1,equal,2022/04/22 09:32:53,0.381,0,SHUTEYE_resub_ss,Acc 1_Drop1_equal_Var3,2022/04/22 09:09:01,6.4.1,1000,2000,0,2000,0,0.381,0,0,0,0,0.619,0,0,0,0,400,400,400,400,400,0,0,0,0,0,0.749588165999999,0.750061841,0.749248301,0.749223926999999,0.749781573999999,0.000611453565333496,0.000570776612467223,0.00054892851588634,0.000549265618399369,0.000610958885537152,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,216.447244000001,0,0,0,0,0,213.447244000001,1,1,1,1,1,0,0,0,0,0,0.233,0.184,0.163,0.176,0.244,0.821,0.139,0.026,0.011,0.003,1,0,0,0,0,0.995,0.005,0,0,0,0.67183,0.198142,0.0747187999999999,0.03741,0.0178992,
4,Acc 1,Drop1,equal,2022/04/22 09:32:53,0.453,0,SHUTEYE_resub_ss,Acc 1_Drop1_equal_Var4,2022/04/22 09:09:07,6.4.1,1000,2500,0,2500,0,0.453,0,0,0,0,0.547,0,0,0,0,500,500,500,500,500,0,0,0,0,0,0.749920300000001,0.751022592,0.7495693,0.749626179000001,0.749449895,0.000555849012632542,0.000496608020327777,0.000522402853369878,0.000513138391090575,0.000535086110190486,0.75,0.75,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,266.395483,0,0,0,0,0,263.395483,1,1,1,1,1,0,0,0,0,0,0.244,0.195,0.165,0.176,0.22,0.854,0.12,0.019,0.007,0,1,0,0,0,0,0.999,0.001,0,0,0,0.7079592,0.1896184,0.0649352000000001,0.026348,0.0111392,
5,Acc 1,Drop1,linear,2022/04/22 09:32:53,0.171,0,SHUTEYE_resub_ss,Acc 1_Drop1_linear_Var1,2022/04/22 09:09:12,6.4.1,1000,1000,0,1000,0,0.171,0,0,0,0,0.829,0,0,0,0,200,200,200,200,200,0,0,0,0,0,0.557641129,0.602185477999999,0.65039119,0.699442797000001,0.740942335,0.00100852348707306,0.000906111881269607,0.000846680681169249,0.000783953041516114,0.000888669560307347,0.550000000000004,0.600000000000011,0.649999999999988,0.700000000000006,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.508498,0,0,0,0,0,113.508498,1,1,1,1,1,0,0,0,0,0,0,0,0.003,0.08,0.917,0,0.001,0.06,0.355,0.584,1,0,0,0,0,0.005,0.033,0.281,0.558,0.123,0.00269959999999999,0.0167404,0.113782,0.370014799999999,0.4967632,
6,Acc 1,Drop1,linear,2022/04/22 09:32:53,0.227,0,SHUTEYE_resub_ss,Acc 1_Drop1_linear_Var2,2022/04/22 09:09:19,6.4.1,1000,1500,0,1500,0,0.227,0,0,0,0,0.773,0,0,0,0,300,300,300,300,300,0,0,0,0,0,0.555123018,0.60060705,0.651046388,0.699442763,0.742468015,0.000822897060890812,0.000774573322222907,0.000738253183679263,0.000670174743848637,0.00072243555233563,0.550000000000004,0.600000000000011,0.649999999999988,0.700000000000006,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,166.541994,0,0,0,0,0,163.541994,1,1,1,1,1,0,0,0,0,0,0,0,0.004,0.049,0.947,0,0,0.046,0.351,0.603,1,0,0,0,0,0,0.019,0.275,0.58,0.126,0.000384000000000001,0.00673159999999999,0.0901711999999998,0.3740096,0.528703600000001,
7,Acc 1,Drop1,linear,2022/04/22 09:32:53,0.277,0,SHUTEYE_resub_ss,Acc 1_Drop1_linear_Var3,2022/04/22 09:09:26,6.4.1,1000,2000,0,2000,0,0.277,0,0,0,0,0.723,0,0,0,0,400,400,400,400,400,0,0,0,0,0,0.554070469,0.600998917000001,0.649537622,0.698979333000001,0.744870483000001,0.000767030812136882,0.00066251400067366,0.000649838207392477,0.00061615877328529,0.000643478449875298,0.550000000000004,0.600000000000011,0.649999999999988,0.700000000000006,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,216.447244000001,0,0,0,0,0,213.447244000001,1,1,1,1,1,0,0,0,0,0,0,0,0,0.017,0.983,0,0.001,0.025,0.336,0.638,1,0,0,0,0,0,0.006,0.22,0.65,0.124,4.4E-05,0.00286639999999999,0.0601019999999999,0.3658088,0.5711788,
8,Acc 1,Drop1,linear,2022/04/22 09:32:53,0.312,0,SHUTEYE_resub_ss,Acc 1_Drop1_linear_Var4,2022/04/22 09:09:33,6.4.1,1000,2500,0,2500,0,0.312,0,0,0,0,0.688,0,0,0,0,500,500,500,500,500,0,0,0,0,0,0.553862143,0.601097234999999,0.649668482,0.699933754,0.745294763,0.000645790637146156,0.000611153903089266,0.000616121405874751,0.000577128624865492,0.000560876603278169,0.550000000000004,0.600000000000011,0.649999999999988,0.700000000000006,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,266.395483,0,0,0,0,0,263.395483,1,1,1,1,1,0,0,0,0,0,0,0,0,0.02,0.98,0,0,0.01,0.345,0.645,1,0,0,0,0,0,0.002,0.209,0.686,0.103,1.48E-05,0.0009644,0.0437416,0.3741936,0.5810856,
9,Acc 1,Drop1,plateau,2022/04/22 09:32:53,0.081,0,SHUTEYE_resub_ss,Acc 1_Drop1_plateau_Var1,2022/04/22 09:09:40,6.4.1,1000,1000,0,1000,0,0.081,0,0,0,0,0.919,0,0,0,0,200,200,200,200,200,0,0,0,0,0,0.657788260999999,0.700983984,0.742670623999999,0.748742259,0.748740569000001,0.000936725119832973,0.000813287201083661,0.000738069798013365,0.000726371292720041,0.000852484556453875,0.649999999999988,0.700000000000006,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,116.508498,0,0,0,0,0,113.508498,1,1,1,1,1,0,0,0,0,0,0,0.013,0.254,0.325,0.408,0.026,0.14,0.592,0.182,0.06,1,0,0,0,0,0.187,0.433,0.369,0.01,0.001,0.0555416,0.1892992,0.4459048,0.2142952,0.0949592,
10,Acc 1,Drop1,plateau,2022/04/22 09:32:53,0.151,0,SHUTEYE_resub_ss,Acc 1_Drop1_plateau_Var2,2022/04/22 09:09:46,6.4.1,1000,1500,0,1500,0,0.151,0,0,0,0,0.849,0,0,0,0,300,300,300,300,300,0,0,0,0,0,0.655524385000002,0.700138301999999,0.744017072999999,0.74860857,0.748334865,0.000805065310396965,0.000675041142582955,0.000647525371136012,0.000621002102729581,0.000698400553774332,0.649999999999988,0.700000000000006,0.75,0.75,0.75,0,0,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,166.541994,0,0,0,0,0,163.541994,1,1,1,1,1,0,0,0,0,0,0,0.007,0.29,0.318,0.385,0.012,0.137,0.672,0.142,0.037,1,0,0,0,0,0.142,0.495,0.355,0.008,0,0.0328512,0.1805532,0.518330399999999,0.1962016,0.0720636,
